tmdbId,title,clean_overview
862,Toy Story,led woody andy toys live happily room andy birthday brings buzz lightyear onto scene afraid losing place andy heart woody plots buzz circumstances separate buzz woody owner duo eventually learns put aside differences
8844,Jumanji,siblings judy peter discover enchanted board game opens door magical world unwittingly invite alan adult trapped inside game 26 years living room alan hope freedom finish game proves risky three find running giant rhinoceroses evil monkeys terrifying creatures
15602,Grumpier Old Men,family wedding reignites ancient feud neighbors fishing buddies john max meanwhile sultry italian opens restaurant local bait shop alarming locals worry scare fish away less interested seafood cooking hot time max
31357,Waiting to Exhale,cheated mistreated stepped women holding breath waiting elusive good man break string lovers friends confidants vannah bernie glo robin talk determined find better way breathe
11862,Father of the Bride Part II,george banks recovered daughter wedding receives news pregnant george wife expecting planning selling home plan change arrival grandchild kid
949,Heat,obsessive master thief neil mccauley leads crew various daring heists throughout los angeles determined detective vincent hanna pursues without rest man recognizes respects ability dedication even though aware game may end violence
11860,Sabrina,ugly duckling undergone remarkable change still harbors feelings crush carefree playboy brother something say
45325,Tom and Huck,mischievous young boy tom sawyer witnesses murder deadly injun joe tom becomes friends huckleberry finn boy future family tom choose honoring friendship honoring oath town alcoholic accused murder tom huck go several adventures trying retrieve evidence
9091,Sudden Death,man daughter suddenly taken championship hockey game captors demanding billion dollars game end frantically sets plan motion rescue abort impending explosion final buzzer
710,GoldenEye,powerful satellite system falls hands alec trevelyan aka agent 006 former james bond save world dangerous space weapon one short pulse could destroy earth bond squares former compatriot also battles xenia onatopp assassin uses pleasure ultimate weapon
9087,The American President,widowed president andrew shepherd one world powerful men anything wants covets sydney ellen wade washington lobbyist shepherd attempts courting spark wild rumors decimate approval ratings
12110,Dracula: Dead and Loving It,lawyer shows vampire doorstep falls prey charms joins search fresh blood enter professor van helsing may one able vanquish count
21032,Balto,outcast risks life prevent deadly epidemic ravaging nome alaska
10858,Nixon,look president richard man carrying fate world shoulders battling demands troubled boyhood california shocking watergate scandal would end presidency
1408,Cutthroat Island,morgan adams slave william shaw quest recover three portions treasure map unfortunately final portion held murderous uncle dawg crew skeptical leadership abilities must complete quest mutiny made yet difficult efforts british crown end pirate raids
524,Casino,las vegas sam ace rothstein gets tapped bosses head tangiers casino first great success job years problems enforcer nicky santoro wife ginger ex lester diamond handful corrupt politicians put sam danger
4584,Sense and Sensibility,dashwood sisters sensible elinor passionate marianne whose chances marriage seem doomed family sudden loss fortune henry dashwood dies unexpectedly estate must pass law son first marriage john wife fanny circumstances leave dashwood current wife daughters elinor marianne margaret without home barely enough money live elinor marianne struggle find romantic fulfillment society obsessed financial social status must learn mix sense sensibility dealings money men
5,Four Rooms,ted bellhop first night job hotel unusual guests place outrageous predicaments seems evening room service serving one unbelievable happening another
9273,Ace Ventura: When Nature Calls,summoned ashram tibet ace finds perilous journey jungles africa find shikaka missing sacred animal friendly wachati tribe must accomplish wedding wachati princess prince warrior wachootoos ace fails result vicious tribal war
11517,Money Train,vengeful new york transit cop decides steal trainload subway fares foster fellow protect
8012,Get Shorty,chili palmer miami mobster gets sent boss psychopathic bones barboni collect bad debt harry zimm hollywood producer specializes cheesy horror films chili meets harry leading lady romantic sparks fly pitching life story movie idea chili learns mobster hollywood producer really different
1710,Copycat,agoraphobic psychologist female detective must work together take serial killer copies serial killers past
9691,Assassins,assassin robert rath arrives funeral kill prominent mobster witness rival hired gun complete job grisly results horrified murder innocent bystanders rath decides take one last job return civilian life finding way world contract killing grows ever dangerous rath falls female target becomes marked man
12665,Powder,harassed classmates wo accept shocking appearance shy young man known powder struggles fit cruel taunts stop powder displays mysterious power allows incredible things phenomenon changes lives around ways never could imagined
451,Leaving Las Vegas,ben sanderson alcoholic hollywood screenwriter lost everything drinking arrives las vegas drink death meets forms uneasy friendship pact prostitute sera
16420,Othello,evil iago pretends friend othello order manipulate serve end film version shakespeare classic
9263,Now and Then,waxing nostalgic bittersweet passage childhood puberty four childhood girlfriends teeny chrissy samantha roberta recall magical summer walk memory lane reconcile experiences boys secrets bullies
17015,Persuasion,anne elliot daughter financially troubled aristocratic family persuaded break engagement frederick wentworth young sea captain meager means years later money troubles force anne father rent family estate admiral croft anne thrown company frederick rich successful perhaps still love anne
902,La Cité des Enfants Perdus,scientist surrealist society kidnaps children steal dreams hoping slow aging process
37557,摇啊摇，摇到外婆桥,shanghai china young shuisheng arrives countryside uncle liushu puts service bijou mistress laoda supreme boss tang triad constantly threatened enemies knows lurking shadows
9909,Dangerous Minds,former marine louanne johnson lands gig teaching pilot program bright underachieving teens notorious high school terrible first day decides must throw decorum wind johnson returns classroom armed attitude informed military training fearless determination better lives students matter cost
63,Twelve Monkeys,year 2035 convict james cole reluctantly volunteers sent back time discover origin deadly virus wiped nearly earth population forced survivors underground communities cole mistakenly sent 1990 instead 1996 arrested locked mental hospital meets psychiatrist kathryn railly patient jeffrey goines son famous virus expert may hold key mysterious rogue group army 12 monkeys thought responsible unleashing killer disease
9598,Babe,babe little pig quite know place world bunch odd friends like ferdinand duck thinks rooster fly dog calls mum babe realises makings become greatest sheep pig time farmer hogget knows help sheep dogs babe learns pig anything wants
687,Dead Man Walking,death row inmate turns spiritual guidance local nun days leading scheduled execution murders young couple
33689,It Takes Two,identical different backgrounds orphaned amanda wealthy alyssa meet summer camp decide switch places play matchmaker alyssa dad roger kind social worker cares amanda
9603,Clueless,shallow rich socially successful cher top beverly hills high school pecking scale seeing matchmaker cher first coaxes two teachers dating emboldened success decides give hopelessly klutzy new student tai makeover tai becomes popular cher realizes disapproving right misguided falls
34615,"Cry, the Beloved Country",preacher goes search wayward son committed crime big city
31174,Richard III,murderous lust british throne sees richard iii descend madness though setting transposed 1930s england torn civil war split rivaling houses york lancaster richard aspires fascist dictatorship must first remove obstacles brother nephews brother wife duke buckingham deserts richard plans compromised
11443,Dead Presidents,streets call cash dead presidents vietnam veteran returns home war find drawn life crime aid fellow vets plans ultimate heist daring robbery armored car filled unmarked currency
35196,Restoration,aspiring young physician robert merivel found service king charles ii saves life someone close king merivel joins king court lives high life provided someone position merivel ordered marry king mistress order divert queens suspicions given one order king fall love situation worsens merivel finds love new wife eventually king finds relieves merivel position wealth fall grace leaves merivel first started travels reunions old friend rediscovers love true medicine really means physician
9312,Mortal Kombat,nine generations evil sorcerer victorious battle mortal enemies wins tenth mortal kombat tournament desolation evil reign multiverse forever save earth three warriors must overcome seemingly insurmountable odds inner demons superhuman foes movie based one popular video games time
577,To Die For,suzanne stone wants news anchor willing anything get wants lacks intelligence makes cold determination diabolical wiles pursues goal relentless focus forced destroy anything anyone may stand way regardless ultimate cost means necessary
11861,How to Make an American Quilt,graduate student finn dodd develops cold feet suspects cheating order clear head finn visits grandmother hy great aunt glady joe cleary grasse finn learns hy glady joe members group passionate quilters course visit regaled tales love life women collected rich experiences much wisdom
807,Se7en,two homicide detectives desperate hunt serial killer whose crimes based seven deadly sins dark haunting film takes viewers tortured remains one victim next seasoned det sommerset researches sin effort get inside killer mind novice partner mills scoffs efforts unravel case
10530,Pocahontas,pocahontas daughter native american tribe chief falls love english soldier colonists invade 17th century virginia
8391,When Night Is Falling,prudish woman working tenure literacy professor large urban university finds attracted liberal woman works local carnival
